City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
366,Lejanias,CO,73.0,overcast clouds,3.5251,-74.0216,Hotel Campestre La Contea
370,Tomatlan,MX,72.54,clear sky,19.9333,-105.25,Norma franco
371,Aguilas,ES,51.01,broken clouds,37.4063,-1.5829,Hotel Carlos III
382,Hunterville,NZ,64.0,scattered clouds,-39.9333,175.5667,Argyle Hotel
386,Kasulu,TZ,64.04,overcast clouds,-4.5767,30.1025,Nazaret lodge
389,Dom Pedrito,BR,66.61,clear sky,-30.9828,-54.6731,Hotel Alexandre
393,Kamina,CD,65.05,overcast clouds,-8.7386,24.9906,Guest House la Grace
395,Kwinana,AU,71.01,overcast clouds,-32.25,115.7667,Rockingham Apartments
396,Salalah,OM,69.8,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
398,Cururupu,BR,73.58,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
400,Santa Maria Del Oro,MX,66.02,few clouds,25.9333,-105.3667,Hotel Palacio Del Sol
403,Lumeje,AO,72.64,overcast clouds,-11.55,20.7833,
409,Uyuni,BO,56.25,clear sky,-20.4597,-66.825,Hostal La Magia de Uyuni
410,Manono,CD,71.53,overcast clouds,-7.3,27.4167,Hotel hewa bora
411,Chipinge,ZW,57.04,moderate rain,-20.1883,32.6236,Chipinge Breeze Lodge
412,Mpika,ZM,62.74,overcast clouds,-11.8343,31.4529,Melodies Lodge
413,Pagudpud,PH,69.8,few clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
420,Nuevo Progreso,MX,54.0,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
422,Ixtapa,MX,72.0,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
428,Harsin,IR,59.0,scattered clouds,34.2721,47.5861,ایزوگام اصل دلیجان و شرق
429,Nova Olimpia,BR,74.05,moderate rain,-14.7972,-57.2881,Motel glamour
430,Tura,IN,60.42,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
431,Namibe,AO,73.63,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
432,Gaozhou,CN,63.54,clear sky,21.9392,110.8461,望江楼旅业
439,Minab,IR,57.2,mist,27.1467,57.0801,Bam campground
446,Kalakamati,BW,62.55,overcast clouds,-20.5929,27.3121,
448,Abu Kamal,SY,58.77,broken clouds,34.4506,40.9171,محطة التلفاز
449,Breves,BR,73.87,overcast clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
450,Sesimbra,PT,57.0,scattered clouds,38.4445,-9.1015,Sana Sesimbra
452,Kaili,ID,73.09,overcast clouds,-3.4626,120.2147,
457,Bandundu,CD,73.53,overcast clouds,-3.3167,17.3667,Coja Color
458,Ponta Delgada,PT,57.99,few clouds,37.7333,-25.6667,Vila Nova Hotel
464,Tibagi,BR,65.19,scattered clouds,-24.5094,-50.4136,Hotel Formigas na Figueira
468,Moreira Sales,BR,71.31,clear sky,-24.0622,-53.0069,Portal Moreira Sales
473,George,ZA,57.2,clear sky,-33.963,22.4617,Protea Hotel by Marriott George King George
475,Bam,IR,53.92,clear sky,29.105999999999998,58.357,Bam Tourist Hotel
478,Yarada,IN,69.8,mist,17.65,83.2667,Jeevan
480,Victoria,HK,66.99,clear sky,22.2855,114.1577,Mini Hotel Central
496,Puri,IN,71.6,mist,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
498,Kaitangata,NZ,59.0,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
501,Bahia Blanca,AR,67.28,clear sky,-38.7196,-62.2724,Hotel Argos
503,Nelson Bay,AU,73.4,broken clouds,-32.7167,152.15,Mantra Nelson Bay
504,Tandil,AR,64.0,broken clouds,-37.3217,-59.1332,HOSTAL DE LA SIERRA TANDIL
511,Damara,CF,74.07,broken clouds,4.9608,18.7035,
515,Fortuna,US,54.0,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
524,Jinxiang,CN,51.03,broken clouds,27.4327,120.6062,Wolong Village
525,Talara,PE,74.73,few clouds,-4.5772,-81.2719,Hostal Oro Negro
