City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Leningradskiy,RU,2021-02-16 19:55:55,69.3833,178.4167,-18.44,87,85,4.03
182,Zell Am See,AT,2021-02-16 19:55:55,47.3256,12.7944,36.0,91,52,4.79
183,Tougue,GN,2021-02-16 19:55:56,11.4667,-11.6,76.8,26,31,0.94
184,Cooma,AU,2021-02-16 19:55:56,-36.2333,149.1333,55.4,100,90,5.75
185,Corni,RO,2021-02-16 19:55:56,47.65,26.5833,15.01,85,0,9.22
186,Asuncion Nochixtlan,MX,2021-02-16 19:55:57,17.4667,-97.2333,74.39,17,0,9.06
187,College,US,2021-02-16 19:55:57,64.8569,-147.8028,10.0,72,90,1.45
188,Thinadhoo,MV,2021-02-16 19:55:57,0.5333,72.9333,81.07,69,62,2.08
189,Altay,CN,2021-02-16 19:55:57,47.8667,88.1167,19.94,74,42,2.86
190,Myitkyina,MM,2021-02-16 19:55:58,25.3833,97.4,61.02,53,0,3.04
191,Antofagasta,CL,2021-02-16 19:51:24,-23.65,-70.4,75.99,56,0,16.11
192,Shimoda,JP,2021-02-16 19:55:58,34.6667,138.95,39.0,55,42,5.01
193,Weligama,LK,2021-02-16 19:55:58,5.9667,80.4167,75.58,87,32,2.13
194,Quang Ngai,VN,2021-02-16 19:55:58,15.1167,108.8,63.41,88,18,4.68
195,Itaituba,BR,2021-02-16 19:55:58,-4.2761,-55.9836,78.8,94,75,10.36
196,Goderich,CA,2021-02-16 19:55:59,43.7501,-81.7165,15.8,79,100,11.5
197,Oistins,BB,2021-02-16 19:55:59,13.0667,-59.5333,84.2,54,40,20.71
198,Zapotiltic,MX,2021-02-16 19:56:00,19.6167,-103.4333,71.6,64,1,6.91
199,Marga,RO,2021-02-16 19:56:00,45.5,22.5167,25.07,87,0,1.86
200,Pevek,RU,2021-02-16 19:56:00,69.7008,170.3133,-23.03,88,1,3.06
201,Nandrin,BE,2021-02-16 19:56:00,50.5067,5.4191,48.2,76,75,17.27
202,Puerto Leguizamo,CO,2021-02-16 19:56:00,-0.1934,-74.7819,92.7,43,98,4.36
203,Port Hardy,CA,2021-02-16 19:56:00,50.6996,-127.4199,44.6,93,75,6.91
204,Tecoanapa,MX,2021-02-16 19:56:00,16.5167,-98.75,80.64,53,1,11.48
205,Kambove,CD,2021-02-16 19:56:00,-10.8764,26.5969,63.41,93,100,3.76
206,Chokurdakh,RU,2021-02-16 19:56:01,70.6333,147.9167,-18.2,89,98,1.99
207,Melfi,IT,2021-02-16 19:56:01,40.9965,15.6514,32.0,74,0,13.8
208,Derveni,GR,2021-02-16 19:56:01,38.1333,22.4167,35.01,48,0,1.99
